,loss,conv2d_8_loss,conv2d_8_PSNRLoss,conv2d_8_perceptual_loss,conv2d_8_mean_squared_error
0,58.69709520701006,0.0010427819797769189,29.86117172241211,0.8381769061088562,0.0010426861699670553
1,58.325736358445326,0.001034251064993441,29.89606475830078,0.832836925983429,0.0010341876186430454
2,58.20096182971413,0.0010251725325360894,29.935699462890625,0.8309879302978516,0.001025246805511415
3,58.108563876681856,0.001017488306388259,29.96855354309082,0.829727053642273,0.0010174717754125595
4,58.02559833032309,0.0010105798719450831,29.997013092041016,0.8285014629364014,0.0010105314431712031
5,57.975743922981785,0.0010046043898910284,30.023487091064453,0.8277663588523865,0.001004676683805883
6,57.88209277880085,0.0009983733762055635,30.051807403564453,0.8264171481132507,0.0009983251802623272
7,57.816125108901446,0.0009920564480125904,30.078861236572266,0.8255555033683777,0.0009921467863023281
8,57.783835339133795,0.0009864338207989931,30.103775024414062,0.8251399397850037,0.000986279803328216
9,57.69949804022482,0.000980397337116301,30.12962532043457,0.82392817735672,0.0009804340079426765
10,57.66853752871226,0.0009746509022079408,30.153766632080078,0.8235006332397461,0.0009745687711983919
11,57.59755153018462,0.0009686850244179368,30.182613372802734,0.8224893808364868,0.000968599459156394
12,57.57211601109386,0.000964252045378089,30.20292854309082,0.8220354318618774,0.000964210310485214
13,57.512702506016346,0.0009597828611731529,30.22359275817871,0.8211694359779358,0.0009598425822332501
14,57.46877644913128,0.0009549316600896418,30.245800018310547,0.8206756711006165,0.0009548496454954147
15,57.4329018039768,0.0009489359217695892,30.270009994506836,0.8200854063034058,0.0009489740477874875
16,57.389221998022755,0.0009455461986362934,30.28680419921875,0.8194591999053955,0.0009455718682147563
17,57.359811975415134,0.000939956633374095,30.313690185546875,0.8190193772315979,0.000939956575166434
18,57.30485378059911,0.0009376797243021429,30.324125289916992,0.8183069825172424,0.0009376422967761755
19,57.2614136201501,0.0009345487342216074,30.33640480041504,0.817671000957489,0.0009346144506707788
